feature,importance
songs_last_30d,0.08293665895941059
total_sessions,0.08259564441373896
total_listen_time,0.07818578652885118
total_events,0.07651569978211901
logout_count,0.07625781065765826
help_page_views,0.0704290806268794
unique_artists,0.06947447306312328
total_songs,0.06696638692305895
events_last_30d,0.06594553432287474
events_last_7d,0.06546097189908995
unique_songs,0.06312169175914832
avg_events_per_session,0.058877492419000164
avg_song_length,0.05082802465566341
error_rate,0.050708645579730205
paid_ratio,0.03809112478436613
is_paid,0.003604973625287319
days_since_last_activity,0.0
add_to_playlist_count,0.0
add_friend_count,0.0
thumbs_down_count,0.0
active_days,0.0
tenure_days,0.0
thumbs_up_count,0.0
